hypothesis_id,status,mechanism,signal,target_horizon,closest_prior_family,material_novelty,primary_source,falsification_rule
H001,sealed_validated,slow session-level overreaction reverses next session,standardized trailing session open-to-close return with extreme threshold,next session open-to-close,none,baseline frozen discovery,internal discovery,Reject if frozen sealed Sharpe is below 2 or monthly hit rate below 70 percent
H002,rejected,upside and downside realized variation contain asymmetric information about momentum reversal,trailing realized upside-minus-downside semivariance conditioned on recent direction,15 to 240 minutes,plain momentum and reversal,uses signed realized variation rather than total return alone,https://ssrn.com/abstract=3584014,Rejected after negative net expectancy and negative family Sharpe in chained outer folds
H003,rejected,early-session order flow predicts or reverses the closing window,first 30 or 60 minute return conditioned on volume or volatility,last 30 to 120 minutes of the same session,intraday momentum,nonoverlapping opening predictor and closing target with an intraday flat interval,https://doi.org/10.1002/fut.22084,Rejected after negative net expectancy and negative family Sharpe in chained outer folds
H004,rejected,low realized range compression precedes directional expansion,prior rolling range percentile plus current causal breakout,next 30 to 240 minutes,range breakout,conditions breakout on compression state instead of price location alone,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3069253,Rejected after negative net expectancy and negative family Sharpe in chained outer folds
H005,rejected,economically linked futures transmit information with a lag,lagged standardized return of a declared economic leader,next 15 to 240 minutes,generic peer-average lead lag,uses fixed economic pairs and excludes unrelated peer averaging,https://ssrn.com/abstract=5250499,Rejected after negative zero-cost and costed walk-forward expectancy
H006,rejected,volume-confirmed price moves differ from low-participation moves,return impulse interacted with causal volume surprise,next 15 to 240 minutes,unconditioned momentum,interaction is the hypothesis rather than an entry filter,https://ssrn.com/abstract=3493927,Rejected after negative zero-cost and costed walk-forward expectancy
H007,registered,closeness to a prior high isolates underreaction from conventional momentum,return from rolling high to current session close,next session,plain time-series momentum,decomposes the momentum path around its intervening high,https://ssrn.com/abstract=4176234,Reject if the family is not positive in at least two outer folds after costs
H008,registered,average return differs structurally by recurring intraday clock bucket,causal rolling mean return for the same product and session bucket,current 15 to 240 minute bucket,generic time-of-day filter,the clock bucket forecast is the signal rather than a filter,https://ssrn.com/abstract=3596245,Reject if clock-bucket drift is unstable across outer folds or concentrated in one product
H009,registered,discontinuous price shocks induce a distinct continuation or overreaction response,realized-variance minus bipower-variation jump proxy,next 15 to 240 minutes,large-return reversal,separates jump variation from continuous volatility,https://doi.org/10.1093/jjfinec/nbh001,Reject if jump-conditioned returns are not positive in at least two outer folds after costs
H010,registered,high price impact identifies liquidity-demand shocks that should partially reverse,signed return scaled by lagged dollar-volume liquidity,next 15 to 240 minutes,volume-confirmed momentum,tests price impact and liquidity provision rather than participation confirmation,https://doi.org/10.1016/S0378-4266(03)00120-1,Reject if it fails zero-cost or 3.5-bps walk-forward expectancy
H011,registered,low sign-sequence entropy identifies locally persistent information flow,rolling Shannon entropy of return signs interacted with recent direction,next 15 to 240 minutes,trend efficiency,uses model-free sequence predictability rather than path slope,https://arxiv.org/abs/2312.16637,Reject if entropy conditioning does not improve out-of-fold expectancy over unconditional direction
