asset_class,product,root,contract_2026_08_20,relationship_group,notes
Equity Index,E-mini S&P 500,ES,ESU6,US equity beta,Core broad equity risk
Equity Index,E-mini Nasdaq-100,NQ,NQU6,US equity beta,High-duration technology beta
Equity Index,E-mini Russell 2000,RTY,RTYU6,US equity beta,Small-cap and domestic-cycle tilt
Equity Index,E-mini Dow,YM,YMU6,US equity beta,Value and industrial tilt
Rates,2-Year Treasury Note,ZT,ZTU6,US rates curve,Short-duration policy sensitivity
Rates,5-Year Treasury Note,ZF,ZFU6,US rates curve,Intermediate policy and growth sensitivity
Rates,10-Year Treasury Note,ZN,ZNU6,US rates curve,Core duration and common risk-off hedge
Rates,30-Year Treasury Bond,ZB,ZBU6,US rates curve,Long-duration and inflation sensitivity
Energy,WTI Crude Oil,CL,CLV6,Energy complex,October is the active nearby contract around this date
Energy,Henry Hub Natural Gas,NG,NGU6,Energy complex,September contract is near its late-August roll
Metals,Gold,GC,GCZ6,Precious metals,December is commonly the liquid deferred contract by late August
Metals,Silver,SI,SIU6,Precious metals,September contract is near delivery-month roll
Metals,Copper,HG,HGU6,Industrial metals,Pro-cyclical China and global-growth exposure
FX,Euro FX,6E,6EU6,Short USD currencies,Often moves with GBP against broad USD shocks
FX,Japanese Yen,6J,6JU6,Short USD and defensive FX,Can behave as a risk-off currency
FX,British Pound,6B,6BU6,Short USD currencies,Often positively related to EUR futures
Agriculture,Corn,ZC,ZCZ6,Grains,Weather biofuel and feed demand
Agriculture,Soybeans,ZS,ZSX6,Grains,November new-crop contract
Crypto,Bitcoin,BTC,BTCU6,Crypto beta,Confirm CME cryptocurrency entitlement in Rithmic
Crypto,Ether,ETH,ETHU6,Crypto beta,Usually highly correlated with Bitcoin
